Coverage Type,State,Rated Flood Zones, Policies in Force , Premium + FPF ,Total Annual Payment, Building Coverage , Contents Coverage , Total Coverage 
 Building Only , OKLAHOMA , Emergency Program , 1 , $300 , $371 ," $35,000 ", $-   ," $35,000 "
 Building Only , OKLAHOMA , Unknown or Invalid , 5 ," $2,183 "," $3,109 "," $233,000 ", $-   ," $233,000 "
 Building Only , OKLAHOMA , X Zone , 198 ," $165,300 "," $226,276 "," $38,887,000 ", $-   ," $38,887,000 "
 Building Only , OREGON , All A Zones ," 7,668 "," $7,395,410 "," $9,384,662 "," $1,664,090,000 ", $-   ," $1,664,090,000 "
 Building Only , OREGON , All V Zones , 136 ," $122,513 "," $155,625 "," $30,112,000 ", $-   ," $30,112,000 "
 Building Only , OREGON , D Zone , 4 ," $1,892 "," $2,973 "," $1,150,000 ", $-   ," $1,150,000 "
 Building Only , OREGON , Unknown or Invalid , 5 ," $11,938 "," $15,069 "," $1,250,000 ", $-   ," $1,250,000 "
 Building Only , OREGON , X Zone , 981 ," $527,576 "," $693,421 "," $194,251,000 ", $-   ," $194,251,000 "
 Building Only , PENNSYLVANIA , All A Zones ," 15,691 "," $22,220,505 "," $27,448,695 "," $2,610,928,400 ", $-   ," $2,610,928,400 "
 Building Only , PENNSYLVANIA , All V Zones , 31 ," $10,483 "," $12,697 "," $7,620,000 ", $-   ," $7,620,000 "
 Building Only , PENNSYLVANIA , Unknown or Invalid , 13 ," $22,304 "," $27,885 "," $2,004,200 ", $-   ," $2,004,200 "
 Building Only , PENNSYLVANIA , X Zone ," 1,224 "," $1,464,074 "," $1,899,809 "," $269,403,000 ", $-   ," $269,403,000 "
 Building Only , PUERTO RICO , All A Zones ," 5,940 "," $3,484,178 "," $4,023,384 "," $980,152,800 ", $-   ," $980,152,800 "
 Building Only , PUERTO RICO , All V Zones , 129 ," $90,320 "," $119,742 "," $26,393,200 ", $-   ," $26,393,200 "
 Building Only , PUERTO RICO , Unknown or Invalid , 18 ," $43,200 "," $43,200 "," $1,569,600 ", $-   ," $1,569,600 "
 Building Only , PUERTO RICO , X Zone ," 1,288 "," $166,138 "," $216,945 "," $247,470,000 ", $-   ," $247,470,000 "
 Building Only , RHODE ISLAND , All A Zones ," 3,518 "," $3,341,485 "," $4,202,670 "," $792,037,600 ", $-   ," $792,037,600 "
 Building Only , RHODE ISLAND , All V Zones , 685 ," $812,534 "," $1,030,374 "," $166,121,000 ", $-   ," $166,121,000 "
 Building Only , RHODE ISLAND , Unknown or Invalid , 6 ," $3,204 "," $4,506 "," $1,336,000 ", $-   ," $1,336,000 "
 Building Only , RHODE ISLAND , X Zone , 530 ," $283,528 "," $365,149 "," $123,965,000 ", $-   ," $123,965,000 "
 Building Only , SOUTH CAROLINA , All A Zones ," 44,028 "," $26,959,893 "," $33,893,374 "," $9,257,848,000 ", $-   ," $9,257,848,000 "
 Building Only , SOUTH CAROLINA , All V Zones ," 3,440 "," $2,160,189 "," $2,623,148 "," $656,669,600 ", $-   ," $656,669,600 "
 Building Only , SOUTH CAROLINA , Unknown or Invalid , 337 ," $80,536 "," $108,332 "," $46,624,000 ", $-   ," $46,624,000 "
 Building Only , SOUTH CAROLINA , X Zone ," 21,190 "," $7,615,142 "," $9,790,175 "," $4,193,924,000 ", $-   ," $4,193,924,000 "
 Building Only , SOUTH DAKOTA , All A Zones ," 1,065 "," $1,124,791 "," $1,419,969 "," $169,357,600 ", $-   ," $169,357,600 "
 Building Only , SOUTH DAKOTA , D Zone , 1 , $262 , $326 ," $43,000 ", $-   ," $43,000 "
 Building Only , SOUTH DAKOTA , Unknown or Invalid , 2 ," $1,978 "," $2,367 "," $400,000 ", $-   ," $400,000 "
 Building Only , SOUTH DAKOTA , X Zone , 77 ," $68,292 "," $93,107 "," $15,717,000 ", $-   ," $15,717,000 "
 Building Only , TENNESSEE , All A Zones ," 7,347 "," $8,543,632 "," $10,849,766 "," $1,463,221,000 ", $-   ," $1,463,221,000 "
 Building Only , TENNESSEE , Unknown or Invalid , 4 ," $5,908 "," $7,488 "," $1,001,000 ", $-   ," $1,001,000 "
 Building Only , TENNESSEE , X Zone , 947 ," $832,594 "," $1,103,156 "," $202,214,000 ", $-   ," $202,214,000 "
 Building Only , TEXAS , All A Zones ," 61,501 "," $55,944,723 "," $72,465,907 "," $12,545,876,800 ", $-   ," $12,545,876,800 "
 Building Only , TEXAS , All V Zones ," 3,037 "," $4,059,596 "," $5,129,242 "," $640,119,200 ", $-   ," $640,119,200 "
 Building Only , TEXAS , D Zone , 1 , $370 , $678 ," $131,000 ", $-   ," $131,000 "
 Building Only , TEXAS , Emergency Program , 39 ," $13,060 "," $21,451 "," $2,033,000 ", $-   ," $2,033,000 "
 Building Only , TEXAS , Unknown or Invalid , 671 ," $424,742 "," $591,322 "," $126,357,400 ", $-   ," $126,357,400 "
 Building Only , TEXAS , X Zone ," 16,212 "," $10,495,719 "," $14,443,813 "," $3,350,098,000 ", $-   ," $3,350,098,000 "
 Building Only , UTAH , All A Zones ," 1,052 "," $619,308 "," $804,326 "," $248,136,000 ", $-   ," $248,136,000 "
 Building Only , UTAH , D Zone , 1 , $591 , $939 ," $500,000 ", $-   ," $500,000 "
 Building Only , UTAH , Unknown or Invalid , 5 ," $3,902 "," $5,812 "," $1,847,000 ", $-   ," $1,847,000 "
 Building Only , UTAH , X Zone , 281 ," $104,660 "," $140,056 "," $53,094,000 ", $-   ," $53,094,000 "
 Building Only , VERMONT , All A Zones ," 1,489 "," $2,653,873 "," $3,236,208 "," $263,964,400 ", $-   ," $263,964,400 "
 Building Only , VERMONT , D Zone , 1 , $420 , $737 ," $250,000 ", $-   ," $250,000 "
 Building Only , VERMONT , Emergency Program , 4 ," $5,974 "," $6,218 "," $244,400 ", $-   ," $244,400 "
 Building Only , VERMONT , Unknown or Invalid , 26 ," $31,045 "," $39,015 "," $4,314,400 ", $-   ," $4,314,400 "
 Building Only , VERMONT , X Zone , 291 ," $139,560 "," $181,872 "," $57,513,000 ", $-   ," $57,513,000 "
 Building Only , VIRGINIA , All A Zones ," 22,325 "," $16,155,254 "," $20,565,908 "," $4,803,845,600 ", $-   ," $4,803,845,600 "
 Building Only , VIRGINIA , All V Zones , 576 ," $247,170 "," $320,177 "," $141,145,000 ", $-   ," $141,145,000 "
 Building Only , VIRGINIA , Unknown or Invalid , 4 ," $2,658 "," $3,853 "," $863,000 ", $-   ," $863,000 "
 Building Only , VIRGINIA , X Zone ," 4,093 "," $1,625,144 "," $2,170,199 "," $903,372,000 ", $-   ," $903,372,000 "
 Building Only , VIRGIN ISLANDS , All A Zones , 648 ," $178,841 "," $269,468 "," $136,781,000 ", $-   ," $136,781,000 "
 Building Only , VIRGIN ISLANDS , All V Zones , 52 ," $22,801 "," $33,167 "," $10,029,000 ", $-   ," $10,029,000 "
 Building Only , VIRGIN ISLANDS , Unknown or Invalid , 2 , $492 , $839 ," $58,000 ", $-   ," $58,000 "
 Building Only , VIRGIN ISLANDS , X Zone , 191 ," $29,163 "," $43,419 "," $40,619,000 ", $-   ," $40,619,000 "
 Building Only , WASHINGTON , All A Zones ," 10,507 "," $9,938,733 "," $12,613,112 "," $2,383,336,000 ", $-   ," $2,383,336,000 "
 Building Only , WASHINGTON , All V Zones , 338 ," $175,221 "," $229,744 "," $75,188,000 ", $-   ," $75,188,000 "
 Building Only , WASHINGTON , D Zone , 2 ," $4,918 "," $5,836 "," $500,000 ", $-   ," $500,000 "
 Building Only , WASHINGTON , Emergency Program , 2 ," $1,036 "," $1,481 "," $90,000 ", $-   ," $90,000 "
 Building Only , WASHINGTON , Unknown or Invalid , 41 ," $62,342 "," $80,092 "," $10,534,000 ", $-   ," $10,534,000 "
 Building Only , WASHINGTON , X Zone ," 1,387 "," $807,909 "," $1,056,368 "," $291,653,000 ", $-   ," $291,653,000 "
 Building Only , WEST VIRGINIA , All A Zones ," 4,732 "," $6,361,488 "," $7,770,004 "," $568,032,400 ", $-   ," $568,032,400 "
 Building Only , WEST VIRGINIA , Unknown or Invalid , 3 ," $4,368 "," $5,879 "," $255,000 ", $-   ," $255,000 "
 Building Only , WEST VIRGINIA , X Zone , 273 ," $382,901 "," $491,886 "," $44,799,000 ", $-   ," $44,799,000 "
 Building Only , WISCONSIN , All A Zones ," 4,020 "," $3,763,057 "," $4,792,923 "," $614,823,000 ", $-   ," $614,823,000 "
 Building Only , WISCONSIN , All V Zones , 5 ," $2,543 "," $3,983 "," $1,250,000 ", $-   ," $1,250,000 "
 Building Only , WISCONSIN , Emergency Program , 3 , $899 ," $1,110 "," $105,000 ", $-   ," $105,000 "
 Building Only , WISCONSIN , Unknown or Invalid , 10 ," $8,688 "," $12,665 "," $1,755,000 ", $-   ," $1,755,000 "
 Building Only , WISCONSIN , X Zone , 462 ," $234,843 "," $321,435 "," $65,875,000 ", $-   ," $65,875,000 "
 Building Only , WYOMING , All A Zones , 542 ," $537,453 "," $689,465 "," $95,481,000 ", $-   ," $95,481,000 "
 Building Only , WYOMING , Unknown or Invalid , 1 , $750 , $902 ," $82,000 ", $-   ," $82,000 "
 Building Only , WYOMING , X Zone , 62 ," $40,079 "," $57,217 "," $14,082,000 ", $-   ," $14,082,000 "
 Contents Only , ALABAMA , All A Zones , 223 ," $221,710 "," $308,965 ", $-   ," $40,956,000 "," $40,956,000 "
 Contents Only , ALABAMA , All V Zones , 143 ," $43,644 "," $84,446 ", $-   ," $8,386,000 "," $8,386,000 "
 Contents Only , ALABAMA , X Zone , 259 ," $173,988 "," $253,692 ", $-   ," $56,993,000 "," $56,993,000 "
 Contents Only , ALASKA , All A Zones , 6 ," $2,703 "," $4,638 ", $-   ," $1,526,000 "," $1,526,000 "
 Contents Only , ALASKA , All V Zones , 1 , $299 , $369 , $-   ," $100,000 "," $100,000 "
 Contents Only , ALASKA , D Zone , 2 , $609 , $977 , $-   ," $504,000 "," $504,000 "
 Contents Only , ALASKA , X Zone , 7 ," $1,814 "," $2,930 ", $-   ," $733,000 "," $733,000 "
 Contents Only , ARIZONA , All A Zones , 126 ," $74,990 "," $113,520 ", $-   ," $27,216,000 "," $27,216,000 "
 Contents Only , ARIZONA , D Zone , 1 ," $1,026 "," $1,452 ", $-   ," $500,000 "," $500,000 "
 Contents Only , ARIZONA , Unknown or Invalid , 1 , $588 , $935 , $-   ," $39,000 "," $39,000 "
 Contents Only , ARIZONA , X Zone , 132 ," $79,208 "," $116,124 ", $-   ," $27,540,000 "," $27,540,000 "
 Contents Only , ARKANSAS , All A Zones , 33 ," $42,928 "," $57,950 ", $-   ," $7,421,000 "," $7,421,000 "
 Contents Only , ARKANSAS , X Zone , 49 ," $34,284 "," $48,691 ", $-   ," $8,580,000 "," $8,580,000 "
 Contents Only , CALIFORNIA , All A Zones , 864 ," $876,535 "," $1,196,431 ", $-   ," $172,236,000 "," $172,236,000 "
 Contents Only , CALIFORNIA , All V Zones , 20 ," $23,506 "," $30,992 ", $-   ," $2,370,000 "," $2,370,000 "
 Contents Only , CALIFORNIA , D Zone , 26 ," $24,661 "," $33,581 ", $-   ," $8,231,000 "," $8,231,000 "
 Contents Only , CALIFORNIA , Unknown or Invalid , 15 ," $6,146 "," $9,975 ", $-   ," $3,341,000 "," $3,341,000 "
 Contents Only , CALIFORNIA , X Zone ," 1,066 "," $639,450 "," $885,168 ", $-   ," $184,524,000 "," $184,524,000 "
 Contents Only , COLORADO , All A Zones , 111 ," $109,711 "," $153,345 ", $-   ," $23,750,000 "," $23,750,000 "
 Contents Only , COLORADO , X Zone , 139 ," $108,515 "," $150,143 ", $-   ," $26,027,000 "," $26,027,000 "
 Contents Only , CONNECTICUT , All A Zones , 288 ," $368,099 "," $479,849 ", $-   ," $57,630,000 "," $57,630,000 "
 Contents Only , CONNECTICUT , All V Zones , 16 ," $11,580 "," $15,281 ", $-   ," $1,525,000 "," $1,525,000 "
 Contents Only , CONNECTICUT , Unknown or Invalid , 4 , $816 ," $1,255 ", $-   ," $252,000 "," $252,000 "
 Contents Only , CONNECTICUT , X Zone , 141 ," $120,258 "," $159,537 ", $-   ," $24,547,000 "," $24,547,000 "
 Contents Only , DELAWARE , All A Zones , 216 ," $117,262 "," $179,297 ", $-   ," $20,474,000 "," $20,474,000 "
 Contents Only , DELAWARE , All V Zones , 17 ," $6,259 "," $11,266 ", $-   ," $1,476,000 "," $1,476,000 "
 Contents Only , DELAWARE , X Zone , 94 ," $33,368 "," $55,785 ", $-   ," $10,404,000 "," $10,404,000 "
 Contents Only , DISTRICT OF COLUMBIA , All A Zones , 14 ," $33,759 "," $42,319 ", $-   ," $4,399,000 "," $4,399,000 "
 Contents Only , DISTRICT OF COLUMBIA , X Zone , 21 ," $6,321 "," $9,157 ", $-   ," $3,000,000 "," $3,000,000 "
 Contents Only , FLORIDA , All A Zones ," 15,580 "," $11,225,416 "," $15,344,071 ", $-   ," $1,733,512,000 "," $1,733,512,000 "
 Contents Only , FLORIDA , All V Zones ," 1,682 "," $931,657 "," $1,383,471 ", $-   ," $119,676,000 "," $119,676,000 "
 Contents Only , FLORIDA , D Zone , 5 ," $2,331 "," $3,057 ", $-   ," $328,000 "," $328,000 "
 Contents Only , FLORIDA , Unknown or Invalid , 53 ," $24,266 "," $36,712 ", $-   ," $8,524,000 "," $8,524,000 "
 Contents Only , FLORIDA , X Zone ," 9,505 "," $4,567,599 "," $6,691,793 ", $-   ," $1,483,954,000 "," $1,483,954,000 "
 Contents Only , GEORGIA , All A Zones , 260 ," $215,350 "," $293,748 ", $-   ," $41,203,000 "," $41,203,000 "
 Contents Only , GEORGIA , All V Zones , 8 ," $5,209 "," $8,080 ", $-   ," $1,429,000 "," $1,429,000 "
 Contents Only , GEORGIA , Unknown or Invalid , 1 , $134 , $175 , $-   ," $42,000 "," $42,000 "
 Contents Only , GEORGIA , X Zone , 433 ," $207,561 "," $300,920 ", $-   ," $71,426,000 "," $71,426,000 "
 Contents Only , GUAM , All A Zones , 3 ," $3,536 "," $4,897 ", $-   ," $216,000 "," $216,000 "
 Contents Only , GUAM , All V Zones , 1 ," $1,777 "," $2,338 ", $-   ," $100,000 "," $100,000 "
 Contents Only , GUAM , X Zone , 1 , $379 , $689 , $-   ," $100,000 "," $100,000 "
 Contents Only , HAWAII , All A Zones , 232 ," $370,530 "," $482,908 ", $-   ," $33,690,000 "," $33,690,000 "
 Contents Only , HAWAII , All V Zones , 103 ," $113,995 "," $156,247 ", $-   ," $8,309,000 "," $8,309,000 "
 Contents Only , HAWAII , D Zone , 31 ," $40,207 "," $51,332 ", $-   ," $4,610,000 "," $4,610,000 "
 Contents Only , HAWAII , X Zone , 271 ," $188,999 "," $270,715 ", $-   ," $37,937,000 "," $37,937,000 "
 Contents Only , IDAHO , All A Zones , 24 ," $23,547 "," $32,457 ", $-   ," $4,834,000 "," $4,834,000 "
 Contents Only , IDAHO , X Zone , 15 ," $5,474 "," $8,508 ", $-   ," $1,654,000 "," $1,654,000 "
 Contents Only , ILLINOIS , All A Zones , 119 ," $158,963 "," $210,922 ", $-   ," $26,039,000 "," $26,039,000 "
 Contents Only , ILLINOIS , All V Zones , 1 , $666 , $802 , $-   ," $100,000 "," $100,000 "
 Contents Only , ILLINOIS , Unknown or Invalid , 4 , $835 ," $1,276 ", $-   ," $319,000 "," $319,000 "
 Contents Only , ILLINOIS , X Zone , 181 ," $134,080 "," $182,806 ", $-   ," $35,899,000 "," $35,899,000 "
 Contents Only , INDIANA , All A Zones , 72 ," $72,787 "," $101,933 ", $-   ," $19,586,000 "," $19,586,000 "
 Contents Only , INDIANA , D Zone , 1 , $128 , $168 , $-   ," $8,000 "," $8,000 "
 Contents Only , INDIANA , Unknown or Invalid , 2 , $809 ," $1,213 ", $-   ," $290,000 "," $290,000 "
 Contents Only , INDIANA , X Zone , 84 ," $52,250 "," $75,422 ", $-   ," $19,893,000 "," $19,893,000 "
 Contents Only , IOWA , All A Zones , 70 ," $72,683 "," $101,545 ", $-   ," $14,379,000 "," $14,379,000 "
 Contents Only , IOWA , Unknown or Invalid , 2 , $675 ," $1,280 ", $-   ," $29,000 "," $29,000 "
 Contents Only , IOWA , X Zone , 95 ," $66,429 "," $97,061 ", $-   ," $16,647,000 "," $16,647,000 "
 Contents Only , KANSAS , All A Zones , 32 ," $46,898 "," $62,394 ", $-   ," $7,280,000 "," $7,280,000 "
 Contents Only , KANSAS , Unknown or Invalid , 3 , $709 ," $1,111 ", $-   ," $184,000 "," $184,000 "
 Contents Only , KANSAS , X Zone , 54 ," $46,810 "," $63,100 ", $-   ," $12,495,000 "," $12,495,000 "
 Contents Only , KENTUCKY , All A Zones , 96 ," $135,844 "," $178,761 ", $-   ," $19,027,000 "," $19,027,000 "
 Contents Only , KENTUCKY , Unknown or Invalid , 3 ," $2,335 "," $3,480 ", $-   ," $124,000 "," $124,000 "
 Contents Only , KENTUCKY , X Zone , 80 ," $93,630 "," $125,530 ", $-   ," $17,254,000 "," $17,254,000 "
 Contents Only , LOUISIANA , All A Zones ," 2,048 "," $1,618,763 "," $2,228,209 ", $-   ," $336,552,000 "," $336,552,000 "
 Contents Only , LOUISIANA , All V Zones , 18 ," $32,056 "," $41,050 ", $-   ," $1,961,000 "," $1,961,000 "
 Contents Only , LOUISIANA , Unknown or Invalid , 245 ," $155,793 "," $222,539 ", $-   ," $43,564,000 "," $43,564,000 "
 Contents Only , LOUISIANA , X Zone ," 3,153 "," $1,852,072 "," $2,675,940 ", $-   ," $544,841,000 "," $544,841,000 "
 Contents Only , MAINE , All A Zones , 44 ," $67,567 "," $88,107 ", $-   ," $7,136,000 "," $7,136,000 "
 Contents Only , MAINE , All V Zones , 2 ," $1,066 "," $1,741 ", $-   ," $175,000 "," $175,000 "
 Contents Only , MAINE , Unknown or Invalid , 11 ," $6,032 "," $8,201 ", $-   ," $956,000 "," $956,000 "
 Contents Only , MAINE , X Zone , 31 ," $18,696 "," $27,298 ", $-   ," $5,162,000 "," $5,162,000 "
 Contents Only , MARYLAND , All A Zones , 274 ," $181,217 "," $266,068 ", $-   ," $37,986,000 "," $37,986,000 "
 Contents Only , MARYLAND , All V Zones , 18 ," $5,390 "," $10,257 ", $-   ," $1,552,000 "," $1,552,000 "
 Contents Only , MARYLAND , X Zone , 412 ," $140,413 "," $231,474 ", $-   ," $50,169,000 "," $50,169,000 "
 Contents Only , MASSACHUSETTS , All A Zones , 342 ," $385,298 "," $520,395 ", $-   ," $71,700,000 "," $71,700,000 "
 Contents Only , MASSACHUSETTS , All V Zones , 45 ," $49,453 "," $66,979 ", $-   ," $5,557,000 "," $5,557,000 "
 Contents Only , MASSACHUSETTS , Unknown or Invalid , 7 ," $5,577 "," $6,922 ", $-   ," $995,000 "," $995,000 "
 Contents Only , MASSACHUSETTS , X Zone , 232 ," $136,523 "," $195,994 ", $-   ," $44,482,000 "," $44,482,000 "
 Contents Only , MICHIGAN , All A Zones , 69 ," $59,503 "," $82,381 ", $-   ," $13,699,000 "," $13,699,000 "
 Contents Only , MICHIGAN , D Zone , 3 ," $6,544 "," $8,447 ", $-   ," $855,000 "," $855,000 "
 Contents Only , MICHIGAN , Unknown or Invalid , 2 ," $2,668 "," $3,406 ", $-   ," $600,000 "," $600,000 "
 Contents Only , MICHIGAN , X Zone , 98 ," $51,302 "," $72,286 ", $-   ," $17,814,000 "," $17,814,000 "
 Contents Only , MINNESOTA , All A Zones , 28 ," $24,428 "," $33,115 ", $-   ," $5,606,000 "," $5,606,000 "
 Contents Only , MINNESOTA , Unknown or Invalid , 9 ," $2,570 "," $4,080 ", $-   ," $1,109,000 "," $1,109,000 "
 Contents Only , MINNESOTA , X Zone , 35 ," $18,199 "," $25,655 ", $-   ," $6,722,000 "," $6,722,000 "
 Contents Only , MISSISSIPPI , All A Zones , 284 ," $315,392 "," $420,743 ", $-   ," $51,893,000 "," $51,893,000 "
 Contents Only , MISSISSIPPI , All V Zones , 55 ," $38,756 "," $53,615 ", $-   ," $4,818,000 "," $4,818,000 "
 Contents Only , MISSISSIPPI , X Zone , 388 ," $257,707 "," $369,018 ", $-   ," $69,661,000 "," $69,661,000 "
 Contents Only , MISSOURI , All A Zones , 138 ," $287,631 "," $370,256 ", $-   ," $38,401,000 "," $38,401,000 "
 Contents Only , MISSOURI , Unknown or Invalid , 5 ," $9,107 "," $11,953 ", $-   ," $1,455,000 "," $1,455,000 "
 Contents Only , MISSOURI , X Zone , 215 ," $297,801 "," $394,780 ", $-   ," $64,680,000 "," $64,680,000 "
 Contents Only , MONTANA , All A Zones , 8 ," $6,813 "," $9,747 ", $-   ," $2,387,000 "," $2,387,000 "
 Contents Only , MONTANA , D Zone , 1 , $512 , $846 , $-   ," $500,000 "," $500,000 "
 Contents Only , MONTANA , Unknown or Invalid , 1 , $178 , $452 , $-   ," $100,000 "," $100,000 "
 Contents Only , MONTANA , X Zone , 8 ," $2,806 "," $3,894 ", $-   ," $1,094,000 "," $1,094,000 "
 Contents Only , NEBRASKA , All A Zones , 81 ," $105,651 "," $139,067 ", $-   ," $19,350,000 "," $19,350,000 "
 Contents Only , NEBRASKA , Unknown or Invalid , 1 , $295 , $590 , $-   ," $9,000 "," $9,000 "
 Contents Only , NEBRASKA , X Zone , 25 ," $25,186 "," $34,634 ", $-   ," $6,539,000 "," $6,539,000 "
 Contents Only , NEVADA , All A Zones , 69 ," $100,373 "," $134,659 ", $-   ," $19,296,000 "," $19,296,000 "
 Contents Only , NEVADA , X Zone , 55 ," $40,766 "," $57,342 ", $-   ," $13,789,000 "," $13,789,000 "
 Contents Only , NEW HAMPSHIRE , All A Zones , 67 ," $101,724 "," $132,392 ", $-   ," $14,087,000 "," $14,087,000 "
 Contents Only , NEW HAMPSHIRE , Unknown or Invalid , 1 , $278 , $345 , $-   ," $32,000 "," $32,000 "
 Contents Only , NEW HAMPSHIRE , X Zone , 46 ," $18,810 "," $27,684 ", $-   ," $5,225,000 "," $5,225,000 "
 Contents Only , NEW JERSEY , All A Zones ," 2,495 "," $2,269,582 "," $3,171,637 ", $-   ," $394,847,000 "," $394,847,000 "
 Contents Only , NEW JERSEY , All V Zones , 58 ," $34,614 "," $52,829 ", $-   ," $6,107,000 "," $6,107,000 "
 Contents Only , NEW JERSEY , Unknown or Invalid , 29 ," $20,786 "," $29,059 ", $-   ," $5,629,000 "," $5,629,000 "
 Contents Only , NEW JERSEY , X Zone , 706 ," $623,621 "," $851,959 ", $-   ," $147,601,000 "," $147,601,000 "
 Contents Only , NEW MEXICO , All A Zones , 45 ," $34,479 "," $47,731 ", $-   ," $8,406,000 "," $8,406,000 "
 Contents Only , NEW MEXICO , D Zone , 1 , $364 , $671 , $-   ," $500,000 "," $500,000 "
 Contents Only , NEW MEXICO , X Zone , 67 ," $48,283 "," $64,163 ", $-   ," $9,571,000 "," $9,571,000 "
 Contents Only , NEW YORK , All A Zones ," 1,221 "," $1,469,148 "," $1,927,496 ", $-   ," $217,271,000 "," $217,271,000 "
 Contents Only , NEW YORK , All V Zones , 64 ," $54,186 "," $75,346 ", $-   ," $6,184,000 "," $6,184,000 "
 Contents Only , NEW YORK , Unknown or Invalid , 54 ," $39,513 "," $56,741 ", $-   ," $10,069,000 "," $10,069,000 "
 Contents Only , NEW YORK , X Zone ," 1,311 "," $716,178 "," $1,018,910 ", $-   ," $213,597,000 "," $213,597,000 "
 Contents Only , NORTH CAROLINA , All A Zones , 551 ," $637,724 "," $860,638 ", $-   ," $96,940,000 "," $96,940,000 "
 Contents Only , NORTH CAROLINA , All V Zones , 51 ," $18,118 "," $31,448 ", $-   ," $3,059,000 "," $3,059,000 "
 Contents Only , NORTH CAROLINA , Unknown or Invalid , 3 ," $1,170 "," $1,881 ", $-   ," $184,000 "," $184,000 "
 Contents Only , NORTH CAROLINA , X Zone , 865 ," $417,685 "," $609,808 ", $-   ," $116,966,000 "," $116,966,000 "
 Contents Only , NORTH DAKOTA , All A Zones , 2 ," $3,065 "," $4,100 ", $-   ," $731,000 "," $731,000 "
 Contents Only , NORTH DAKOTA , X Zone , 35 ," $18,408 "," $27,701 ", $-   ," $5,585,000 "," $5,585,000 "
 Contents Only , OHIO , All A Zones , 155 ," $251,022 "," $328,926 ", $-   ," $38,787,000 "," $38,787,000 "
 Contents Only , OHIO , Unknown or Invalid , 3 ," $5,809 "," $7,579 ", $-   ," $796,000 "," $796,000 "
 Contents Only , OHIO , X Zone , 215 ," $125,136 "," $177,995 ", $-   ," $37,289,000 "," $37,289,000 "
 Contents Only , OKLAHOMA , All A Zones , 37 ," $49,886 "," $67,128 ", $-   ," $10,117,000 "," $10,117,000 "
 Contents Only , OKLAHOMA , Unknown or Invalid , 1 , $432 , $751 , $-   ," $500,000 "," $500,000 "
 Contents Only , OKLAHOMA , X Zone , 45 ," $34,112 "," $48,195 ", $-   ," $9,433,000 "," $9,433,000 "
 Contents Only , OREGON , All A Zones , 103 ," $104,988 "," $143,817 ", $-   ," $26,042,000 "," $26,042,000 "
 Contents Only , OREGON , All V Zones , 19 ," $6,067 "," $11,746 ", $-   ," $890,000 "," $890,000 "
 Contents Only , OREGON , Unknown or Invalid , 1 , $387 , $698 , $-   ," $500,000 "," $500,000 "
 Contents Only , OREGON , X Zone , 90 ," $42,067 "," $62,609 ", $-   ," $14,928,000 "," $14,928,000 "
 Contents Only , PENNSYLVANIA , All A Zones , 491 ," $833,160 "," $1,085,319 ", $-   ," $101,689,000 "," $101,689,000 "
 Contents Only , PENNSYLVANIA , Unknown or Invalid , 4 ," $4,159 "," $5,874 ", $-   ," $703,000 "," $703,000 "
 Contents Only , PENNSYLVANIA , X Zone , 474 ," $400,336 "," $545,714 ", $-   ," $83,216,000 "," $83,216,000 "
 Contents Only , PUERTO RICO , All A Zones , 279 ," $128,323 "," $198,337 ", $-   ," $29,563,000 "," $29,563,000 "
 Contents Only , PUERTO RICO , All V Zones , 5 ," $2,302 "," $3,923 ", $-   ," $737,000 "," $737,000 "
 Contents Only , PUERTO RICO , Unknown or Invalid , 7 ," $2,606 "," $4,541 ", $-   ," $1,151,000 "," $1,151,000 "
 Contents Only , PUERTO RICO , X Zone , 150 ," $54,601 "," $85,580 ", $-   ," $19,702,000 "," $19,702,000 "
 Contents Only , RHODE ISLAND , All A Zones , 80 ," $112,476 "," $148,896 ", $-   ," $14,785,000 "," $14,785,000 "
 Contents Only , RHODE ISLAND , All V Zones , 32 ," $35,207 "," $48,149 ", $-   ," $5,155,000 "," $5,155,000 "
 Contents Only , RHODE ISLAND , Unknown or Invalid , 1 , $893 ," $1,295 ", $-   ," $500,000 "," $500,000 "
 Contents Only , RHODE ISLAND , X Zone , 58 ," $25,074 "," $38,874 ", $-   ," $7,707,000 "," $7,707,000 "
 Contents Only , SOUTH CAROLINA , All A Zones , 642 ," $528,709 "," $715,719 ", $-   ," $78,794,000 "," $78,794,000 "
 Contents Only , SOUTH CAROLINA , All V Zones , 54 ," $48,189 "," $66,753 ", $-   ," $5,293,000 "," $5,293,000 "
 Contents Only , SOUTH CAROLINA , Unknown or Invalid , 23 ," $6,192 "," $10,613 ", $-   ," $1,607,000 "," $1,607,000 "
 Contents Only , SOUTH CAROLINA , X Zone ," 1,156 "," $529,921 "," $778,773 ", $-   ," $189,982,000 "," $189,982,000 "
 Contents Only , SOUTH DAKOTA , All A Zones , 10 ," $9,527 "," $13,432 ", $-   ," $2,752,000 "," $2,752,000 "
 Contents Only , SOUTH DAKOTA , D Zone , 2 ," $1,201 "," $1,901 ", $-   ," $559,000 "," $559,000 "
 Contents Only , SOUTH DAKOTA , X Zone , 18 ," $14,747 "," $20,851 ", $-   ," $5,193,000 "," $5,193,000 "
 Contents Only , TENNESSEE , All A Zones , 186 ," $290,079 "," $380,247 ", $-   ," $48,612,000 "," $48,612,000 "
